,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
304,Public,Street,S,S62,FR,FRPE,FRPEMS,Fraxinus pennsylvanica 'Marshall Seedless',Marshall Seedless Red Ash,0,Y,Y,USDA/TC/Mortens/LM,
1489,Private,Private,R,R128,RO,ROPS,ROPS,Robinia pseudoacacia,Black Locust,0,N,Y,TC/lLM/Mortens,
2296,Private,Institutional,I,I6,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,1,N,Y,USDA/TC/LM/Mortens,
2127,Private,Institutional,I,I6,AB,ABBA,ABBA,Abies balsamea,Balsam fir,2.2,Y,Y,USDA/TC/LM,
1393,Private,Private,R,R118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,2.3,N,N,USDA/TC/Mortens,
1394,Private,Private,R,R118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,2.3,N,N,USDA/TC/Mortens,
1104,Private,Private,R,R86,PR,PRAV,PRAV,Prunus avium ,Sweet cherry,2.5,N,N,USDA/TC,
1390,Private,Private,R,R118,MA,MA,MA,Malus_X,,2.5,N,N,NA,
1386,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.6,Y,Y,USDA/TC/LM,
1385,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.8,Y,Y,USDA/TC/LM,
1387,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.9,Y,Y,USDA/TC/LM,
1430,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3,Y,Y,USDA/TC/LM,
2297,Private,Institutional,I,I6,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3,N,Y,USDA/TC/LM/Mortens,
2325,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,3,N,N,USDA/TC/LM,
2331,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,3,N,N,USDA/TC/LM,
1392,Private,Private,R,R118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,3.1,N,N,USDA/TC/Mortens,
1883,Private,Private,R,R158,OS,OSVI,OSVI,Ostrya virginiana,American Hop-Hornbeam Ironwood,3.1,Y,Y,USDA/TC/LM,
2369,Private,Institutional,I,I2,QU,QURU,QURU,Quercus rubra,Red Oak,3.1,Y,Y,TC/LM,
1378,Private,Private,R,R118,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,3.2,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1384,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.2,Y,Y,USDA/TC/LM,
1410,Private,Private,R,R118,AC,ACGI,ACGI,Acer ginnala,Armur Maple,3.3,N,N,USDA/TC/Mortens,
931,Private,Private,R,R21,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,3.4,Y,Y,USDA/LM/NRC,
1247,Private,Private,R,R113,AR,ARSP,ARSP,Aralia Spinosa,,3.4,N,Y,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html,
1391,Private,Private,R,R118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,3.4,N,N,USDA/TC/Mortens,
1427,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.4,Y,Y,USDA/TC/LM,
1898,Private,Private,R,R161,CE,CECA,CECA,Cercis canadensis,,3.4,N,Y,https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/cercis/canadensis.htm,
2003,Private,Institutional,I,I4,AC,ACSC,ACSC,Acer saccharum ,Sugar Maple,3.4,Y,Y,TC/LM,
1289,Private,Private,R,R114,UL,ULAM,ULAM,Ulmus americana,White Elm,3.6,Y,Y,USDA/TC/LM,
1547,Private,Private,R,R136,SY,SYPU,SYPU,Syringa pubescens,,3.6,N,N,https://plants.ces.ncsu.edu/plants/syringa-pubescens-subsp-pubescens/,
1720,Private,Private,R,R146,CG,CGPU,CGPU,Crataegus punctata,Dotted Hawthorn,3.6,Y,Y,USDA/TC/NRC/ http://www.efloras.org/object_page.aspx?object_id=126879&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=CRPU,Refer to websites in Origin Source column: found in Quebec and Ontario therefore deemed native to the saint-Laurence Lowlands (KP)
1897,Private,Private,R,R161,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,3.6,N,N,USDA/TC/Mortens,
1020,Private,Private,R,R48,AM,AMAR,AMAR,Amelanchier arborea,,3.8,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1249,Private,Private,R,R113,AC,ACPA,ACPA,Acer palmatum,Japanese Maple,3.8,N,N,USDA/TC/Mortens,
1363,Private,Private,R,R118,MO,MOAL,MOAL,Morus alba,White Mulberry,3.8,N,N,USDA/TC/Mortens,
1425,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.8,Y,Y,USDA/TC/LM,
1672,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.8,Y,Y,USDA/TC/LM,
1058,Private,Private,R,R67,RH,RHAR,RHAR,Rhus aromatica,,3.9,Y,Y,https://www.fs.fed.us/database/feis/plants/shrub/rhuaro/all.html,
1524,Private,Private,R,R132,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,4,N,Y,USDA/TC/LM,
1542,Private,Private,R,R135,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,4,N,N,USDA/TC/Mortens,
2153,Private,Institutional,I,I6,MA,MASS,MAXXSS,Malus_x_'Spring_Snow',,4,N,N,NA,
2154,Private,Institutional,I,I6,MA,MASS,MAXXSS,Malus_x_'Spring_Snow',,4,N,N,NA,
2155,Private,Institutional,I,I6,MA,MASS,MAXXSS,Malus_x_'Spring_Snow',,4,N,N,NA,
2156,Private,Institutional,I,I6,MA,MASS,MAXXSS,Malus_x_'Spring_Snow',,4,N,N,NA,
2241,Private,Institutional,I,I6,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,4,N,Y,USDA/TC/LM/Mortens,
2301,Private,Institutional,I,I6,AC,ACPL,ACPL,Acer platanoides,Norway Maple,4,N,N,USDA/TC,
2685,Private,Private,R,R164,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,4,N,N,USDA/TC/LM,
1224,Private,Private,R,R113,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.1,Y,Y,USDA/TC/LM,
1242,Private,Private,R,R113,AR,ARSP,ARSP,Aralia Spinosa,,4.1,N,Y,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html,
1248,Private,Private,R,R113,AC,ACPA,ACPA,Acer palmatum,Japanese Maple,4.1,N,N,USDA/TC/Mortens,
2406,Private,Institutional,I,I1,QU,QUMA,QUMA,Quercus macrocarpa,Bur Oak,4.1,Y,Y,USDA/TC/LM/NRC,
1443,Private,Private,R,R118,MA,MA,MA,Malus_X,,4.2,N,N,NA,
2677,Private,Private (Alley),A,A13,UL,ULAM,ULAM,Ulmus americana,White Elm,4.2,Y,Y,USDA/TC/LM,
1426,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.3,Y,Y,USDA/TC/LM,
1896,Private,Private,R,R161,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,4.3,N,Y,USDA/TC/LM/Mortens,
1794,Private,Private,R,R152,PR,PRAV,PRAV,Prunus avium ,Sweet cherry,4.4,N,N,USDA/TC,
1119,Private,Private,R,R7,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.5,Y,Y,USDA/TC/LM,
1241,Private,Private,R,R113,AC,ACPA,ACPA,Acer palmatum,Japanese Maple,4.5,N,N,USDA/TC/Mortens,
1424,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.5,Y,Y,USDA/TC/LM,
1548,Private,Private,R,R136,SY,SYPU,SYPU,Syringa pubescens,,4.5,N,N,https://plants.ces.ncsu.edu/plants/syringa-pubescens-subsp-pubescens/,
1845,Private,Private,R,R156,PI,PIGL,PIGL,Picea glauca,White Spruce,4.5,Y,Y,USDA/TC/LM,
2339,Private,Institutional,I,I2,PN,PNST,PNST,Pinus strobus,Eastern White Pine,4.5,Y,Y,USDA/TC/LM,
1287,Private,Private,R,R114,MA,MA,MA,Magnolia x ,,4.6,N,N,NA,
1428,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.6,Y,Y,USDA/TC/LM,
1901,Private,Private,R,R161,UL,ULAM,ULAM,Ulmus americana,White Elm,4.6,Y,Y,USDA/TC/LM,
2676,Private,Private (Alley),A,A13,RH,RHGL,RHGL,Rhus glabra,,4.6,Y,Y,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=RHGL,
1043,Private,Private,R,R63,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,4.7,N,Y,USDA/TC/LM/Mortens,
1116,Private,Private,R,R7,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.7,Y,Y,USDA/TC/LM,
1168,Private,Private,R,R107,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,4.7,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1290,Private,Private,R,R114,JU,JUVI,JUVI,Juniperus virginiana,,4.7,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html,
1380,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.7,Y,Y,USDA/TC/LM,
1868,Private,Private,R,R156,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,4.7,N,N,USDA/TC/Mortens,
2068,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,4.7,Y,Y,USDA/TC/Mortens/LM,
2592,Private,Institutional,I,I1,TA,TACA,TACA,Taxus canadensis,Canadian Yew,4.7,Y,Y,USDA/TC/LM,
2652,Private,Institutional,I,I5,SA,SACA,SACA,Sambucus canadensis,,4.7,Y,Y,NA,
1021,Private,Private,R,R48,AM,AMAR,AMAR,Amelanchier arborea,,4.8,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1094,Private,Private,R,R83,UL,ULMI,ULMI,Ulmus minor Mill.,,4.8,N,N,https://spain.inaturalist.org/taxa/79461-Ulmus-minor,
1117,Private,Private,R,R7,PR,PRVI,PRVI,Prunus virginiana 'Canada_Red',Chokecherry,4.8,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1166,Private,Private,R,R107,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,4.8,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1243,Private,Private,R,R113,AR,ARSP,ARSP,Aralia Spinosa,,4.8,N,Y,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html,
1529,Private,Private,R,R134,AC,ACPA,ACPA,Acer palmatum,Japanese Maple,4.8,N,N,USDA/TC/Mortens,
1665,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.8,Y,Y,USDA/TC/LM,
1670,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.8,Y,Y,USDA/TC/LM,
1687,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.8,Y,Y,USDA/TC/LM,
1694,Private,Private,R,R143,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,4.8,N,N,USDA/TC/Mortens,
1964,Private,Private (Alley),A,A11,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,4.8,Y,Y,USDA/LM/NRC,
2682,Private,Private (Alley),A,A13,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,4.8,N,Y,USDA/TC/LM/Mortens,
1039,Private,Private,R,R61,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,4.9,Y,Y,USDA/LM/NRC,
1118,Private,Private,R,R7,LI,LIVU,LIVU,Ligustrum vulgare,,4.9,N,N,https://www.invasiveplantatlas.org/subject.html?sub=3036,
1167,Private,Private,R,R107,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,4.9,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1537,Private,Private,R,R134,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,4.9,Y,Y,USDA/TC/LM,
2678,Private,Private (Alley),A,A13,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,4.9,N,Y,USDA/TC/LM/Mortens,
24,Public,Street,S,S20,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
26,Public,Street,S,S26,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
27,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
28,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
29,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
30,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
31,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
32,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
33,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
34,Public,Street,S,S27,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
35,Public,Street,S,S40,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
36,Public,Street,S,S63,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
40,Public,Street,S,S80,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
41,Public,Street,S,S80,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
42,Public,Street,S,S85,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,N,N,USDA/TC,
55,Public,Street,S,S110,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,5,N,N,USDA/TC,
88,Public,Street,S,S29,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,5,Y,Y,USDA/LM,
89,Public,Street,S,S29,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,5,Y,Y,USDA/LM,
91,Public,Street,S,S32,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,5,Y,Y,USDA/LM,
115,Public,Street,S,S59,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,5,Y,Y,USDA/LM,
133,Public,Parc,P,P1,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,5,Y,Y,USDA/LM,
165,Public,Parc,P,P1,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,5,Y,Y,TC/LM,
166,Public,Parc,P,P1,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,5,Y,Y,TC/LM,
167,Public,Street,S,S86,AC,ACTA,ACTA,Acer tataricum,Tartarian Maple,5,N,N,USDA,
168,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
169,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
170,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
171,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
172,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
173,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
174,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
175,Public,Street,S,S8,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
176,Public,Street,S,S12,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
177,Public,Street,S,S12,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
178,Public,Street,S,S12,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
179,Public,Street,S,S12,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
180,Public,Street,S,S12,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
181,Public,Street,S,S12,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
182,Public,Street,S,S24,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
183,Public,Street,S,S55,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
184,Public,Street,S,S62,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
185,Public,Street,S,S62,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
186,Public,Street,S,S63,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
187,Public,Street,S,S72,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
188,Public,Street,S,S88,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
189,Public,Street,S,S96,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
190,Public,Street,S,S96,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
191,Public,Street,S,S96,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
192,Public,Street,S,S101,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
