"","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Invasive.Source","Comments"
"1","I","I6","AB","ABBA","ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM","WI",""
"2","I","I6","AC","ACFR","ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"3","I","I6","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"4","I","I6","AC","ACFR","ACFRAF","Acer x freemanii 'Autumn Fantasy'","Acer x freemanii 'Autumn Fantasy'","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"5","I","I6","AC","ACFR","ACFRAR","Acer x freemanii 'Armstrong'","Acer x freemanii 'Armstrong'","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"6","I","I6","AC","ACFR","ACFRCE","Acer x freemanii 'Celebration'","Acer x freemanii Celebration","Y","Y","LM/Mortons","WI","Hybrid of silver &red"
"7","I","I6","AC","ACFR","ACFRFI","Acer x freemanii 'Firefall'","Acer x freemanii 'Firefall'","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"8","I","I6","AC","ACFR","ACFRMA","Acer x freemanii 'Marmo'","Acer x freemanii Marmo","Y","Y","LM/Mortons","WI","Hybrid of silver &red"
"9","I","I6","AC","ACFR","ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"10","I","I6","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
"11","I","I6","AC","ACFR","ACFRAF","Acer x freemanii 'Autumn Fantasy'","Acer x freemanii 'Autumn Fantasy'","Y","Y","Mortens/LM","WI","Hybrid of silver &red"
