"","Site.Type","Site.Code","Genus.Code","Species.Code","X","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"1","I","I6","AB","ABBA",1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"2","I","I6","AC","ACFR",2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"3","I","I6","AC","ACFR",2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4","I","I2","AC","ACGI",3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"5","A","A1","AC","ACNE",5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"6","P","P1","AC","ACNI",6,"ACNIGC","Acer nigrum 'Green Column'","Green Column Black Maple","N","N","USDA/TC/LM",""
"7","I","I6","AC","ACPA",7,"ACPA","Acer palmatum","Japanese Maple","N","N","USDA/TC/Mortens",""
"8","I","I6","AC","ACPL",8,"ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC",""
"9","S","S20","AC","ACPL",8,"ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC",""
"10","S","S73","AC","ACPL",8,"ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC",""
"11","S","S3","AC","ACPL",8,"ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC",""
"12","I","I1","AC","ACRU",9,"ACRU","Acer rubrum","Red Maple","Y","Y","USDA/LM/TC",""
"13","A","A7","AC","ACSA",10,"ACSA","Acer saccharinum","Silver Maple","Y","Y","USDA/LM",""
"14","S","S3","AC","ACSA",10,"ACSA","Acer saccharinum","Silver Maple","Y","Y","USDA/LM",""
"15","I","I4","AC","ACSC",11,"ACSC","Acer saccharum","Sugar Maple","Y","Y","TC/LM",""
"16","Y","Y44","AC","ACTA",12,"ACTA","Acer tataricum","Tartarian Maple","N","N","USDA",""
