"","Plot.code","Site.Type","Site.Code","total.per.site","Region","Proportion","SLL.per.site","ETF.per.site"
"1",1,"A","A1",5,"ETF",0.8,NA,4
"2",1,"A","A1",5,"SLL",0.2,1,NA
"3",1,"A","A10",1,"ETF",1,NA,1
"4",1,"A","A10",1,"SLL",0,0,NA
"5",1,"A","A11",10,"ETF",0.7,NA,7
"6",1,"A","A11",10,"SLL",0.2,2,NA
"7",1,"A","A12",10,"ETF",0.8,NA,8
"8",1,"A","A12",10,"SLL",0.8,8,NA
"9",1,"A","A13",7,"ETF",1,NA,7
"10",1,"A","A13",7,"SLL",0.571428571428571,4,NA
"11",1,"A","A2",4,"ETF",1,NA,4
"12",1,"A","A2",4,"SLL",0.25,1,NA
"13",1,"A","A3",1,"ETF",1,NA,1
"14",1,"A","A3",1,"SLL",0,0,NA
"15",1,"A","A4",3,"ETF",1,NA,3
"16",1,"A","A4",3,"SLL",0.333333333333333,1,NA
"17",1,"A","A5",2,"ETF",0,NA,0
"18",1,"A","A5",2,"SLL",0,0,NA
"19",1,"A","A6",8,"ETF",0.875,NA,7
"20",1,"A","A6",8,"SLL",0.75,6,NA
"21",1,"A","A7",9,"ETF",0.333333333333333,NA,3
"22",1,"A","A7",9,"SLL",0,0,NA
"23",1,"A","A8",4,"ETF",1,NA,4
"24",1,"A","A8",4,"SLL",0,0,NA
"25",1,"A","A9",13,"ETF",0.923076923076923,NA,12
"26",1,"A","A9",13,"SLL",0.692307692307692,9,NA
"27",1,"I","I1",222,"ETF",0.445945945945946,NA,99
"28",1,"I","I1",222,"SLL",0.427927927927928,95,NA
"29",1,"I","I2",37,"ETF",0.324324324324324,NA,12
"30",1,"I","I2",37,"SLL",0.324324324324324,12,NA
"31",1,"I","I3",15,"ETF",0.733333333333333,NA,11
"32",1,"I","I3",15,"SLL",0.6,9,NA
"33",1,"I","I4",75,"ETF",1,NA,75
"34",1,"I","I4",75,"SLL",0.893333333333333,67,NA
"35",1,"I","I5",10,"ETF",0.6,NA,6
"36",1,"I","I5",10,"SLL",0.4,4,NA
"37",1,"I","I6",154,"ETF",0.448051948051948,NA,69
"38",1,"I","I6",154,"SLL",0.279220779220779,43,NA
"39",1,"P","P1",72,"ETF",0.777777777777778,NA,56
"40",1,"P","P1",72,"SLL",0.319444444444444,23,NA
"41",1,"P","P2",17,"ETF",0.411764705882353,NA,7
"42",1,"P","P2",17,"SLL",0.176470588235294,3,NA
"43",1,"P","P3",37,"ETF",0.135135135135135,NA,5
"44",1,"P","P3",37,"SLL",0.135135135135135,5,NA
"45",1,"S","S1",20,"ETF",1,NA,20
"46",1,"S","S1",20,"SLL",1,20,NA
