"","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"1","AB","ABBA","ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"2","AC","ACFR","ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"3","AC","ACGI","ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"4","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"5","AC","ACNE","ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"6","AC","ACNI","ACNIGC","Acer nigrum 'Green Column'","Green Column Black Maple","N","N","USDA/TC/LM",""
"7","AC","ACPA","ACPA","Acer palmatum","Japanese Maple","N","N","USDA/TC/Mortens",""
"8","AC","ACPL","ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC",""
"9","AC","ACRU","ACRU","Acer rubrum","Red Maple","Y","Y","USDA/LM/TC",""
"10","AC","ACSA","ACSA","Acer saccharinum","Silver Maple","Y","Y","USDA/LM",""
"11","AC","ACSC","ACSC","Acer saccharum","Sugar Maple","Y","Y","TC/LM",""
"12","AC","ACTA","ACTA","Acer tataricum","Tartarian Maple","N","N","USDA",""
"13","AE","AECA","AECABR","Aesculus carnea 'Briotii'","Aesculus carnea 'Briotii'","N","N","USDA/TC/Mortens","Hybrid of the native Aesculus pavia and non-native Aesculus hippocastanum (Europe)"
"14","AE","AEGL","AEGL","Aesculus glabra","Ohio Buckeye","N","Y","USDA/TC/LM",""
"15","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut","N","N","USDA/TC/Mortens",""
"16","AL","ALGL","ALGL","Alnus glutinosa","European Black Alder","N","N","USDA/TC",""
"172","AM","AM","AM","Amelanchier","","Y","Y",NA,""
"164","AM","AMAR","AMAR","Amelanchier Arborea","Downy Serviceberry","Y","Y","",""
"17","AM","AMCA","AMCA","Amelanchier canadensis","Canadian Serviceberry","Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"18","AM","AMGR","AMGR","Amelanchier x grandiflora","Apple Serviceberry","Y","Y","Mortens/LM/TC","Hybrid of native Amelanchier canadensis and Amelanchier laevis"
"19","AM","AMLA","AMLA","Amelanchier laevis","Amelanchier laevis","Y","Y","USDA/TC/Morton/APF(202)",""
"197","AM","AMSA","AMSA","Amelanchier sanguinea","","Y","Y",NA,""
"201","AR","ARSP","ARSP","Aralia Spinosa","","N","Y","https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html",""
"20","BB","BBVU","BBVU","Berberis Vulgaris","Common Barberry","N","N","USDA",""
"21","BE","BEAL","BEAL","Betula alleghaniensis","Yellow Birch","Y","Y","USDA/Mortens/LM",""
"22","BE","BENI","BENI","Betula nigra","River Birch","N","Y","USDA/LM/Mortens",""
"23","BE","BEPA","BEPA","Betula papyrifera","Paper Birch","Y","Y","USDA/TC/LM",""
"217","BE","BEPE","BEPE","Betula pendula","European White Birch","N","N","USDA/TC/Mortens",""
"24","BE","BEPO","BEPO","Betula populifolia","Gray Birch","Y","Y","USDA/TC/Mortens",""
"212","BR","BRPA","BRPA","Broussonetia papyrifera","","N","N","http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006341",""
"26","CA","CAAB","CAAB","Caragana Arborescens","Siberian Pea Tree","N","N","USDA/TC",""
"25","CA","CAAR","CAAR","Caragana Arborescens","Siberian Pea Tree","N","N","USDA/TC",""
"27","CC","CCCA","CCCA","Cercis Canadensis","Eastern Redbud","N","Y","USDA/NRC/https://cwf-fcf.org/en/resources/encyclopedias/native-plant-encyclopedia/","CWF says extreme southern Ontario therefore deeming it non-native to SLL yet native to ETF (KP)"
"28","CD","CDJA","CDJA","Cercidiphyllum japonicum","Katsura Tree","N","N","USDA/TC/Mortens",""
"214","CE","CECA","CECA","Cercis canadensis","","N","Y","https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/cercis/canadensis.htm",""
"29","CE","CEOC","CEOC","Celtis occidentalis","Common Hackberry","Y","Y","USDA/LM/NRC",""
"174","CG","CG","CG","Crataegus",NA,NA,NA,NA,NA
"30","CG","CGMN","CGMN","Crataegus Monogyna","Common Hawthorn","N","N","USDA/TC/Mortons",""
"31","CG","CGMO","CGMOSN","Crataegus x mordenensis 'Snowbird'","Snowbird Hawthorn","N","N","TB","Hybrid of non-native Crataegus laevigata (Europe) and native Crataegus succulenta"
"32","CG","CGPU","CGPU","Crataegus Punctata","Dotted Hawthorn","Y","Y","USDA/TC/NRC/ http://www.efloras.org/object_page.aspx?object_id=126879&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=CRPU","Refer to websites in Origin Source column: found in Quebec and Ontario therefore deemed native to the saint-Laurence Lowlands (KP)"
"33","CH","CHNO","CHNO","Chamaecyparis Nootkatensis","Yellow/Alaska Cedar","N","N","USDA/LM/Mortens","Synomyn: Callitropsis nootkatensis"
"168","CH","CHPI","CHPI","Chamaecyparis Pisifera","Sawara Cypress","N","N","Missouri Botanical Garden",""
"34","CI","CICO","CICO","Cotinus Coggygria","European smoketree","N","N","USDA/Mortens",""
"36","CN","CNFL","CNFL","Cornus Florida","Flowering dogwood","N","Y","USDA/TC",""
"35","CN","CNRU","CNRU","Cornus Rugosa","Roundleaf dogwood","Y","Y","USDA/LM",""
"208","CO","COAL","COAL","Cornus alternifolia","","Y","Y","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b992",""
"37","CO","COCO","COCO","Corylus colurna","Turkish Filbert","N","N","USDA/TC/Mortens",""
"215","CO","COSA","COSA","Cornus sanquinea","","N","N",NA,""
"185","CP","CPCA","CPCA","Cupressus cashmeriana","Blue-beech","Y","Y","TC/LM",""
"38","CR","CRCA","CRCA","Carpinus caroliniana","Blue-beech","Y","Y","TC/LM",""
