"","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","DBH","Native_SLL","Native_ETF"
"1","Public","Street","S","S120","AB","ABBA","ABBA","Abies balsamea",13,"Y","Y"
"2","Public","Street","S","S127","AC","ACNE","ACNE","Acer negundo",25,"N","Y"
"3","Public","Parc","P","P1","AC","ACNI","ACNIGC","Acer nigrum 'Green Column'",18,"N","N"
"4","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"5","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"6","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"7","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"8","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"9","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"10","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"11","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"12","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"13","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"14","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"15","Public","Street","S","S3","AC","ACPL","ACPL","Acer platanoides",20,"N","N"
"16","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"17","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"18","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"19","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"20","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"21","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"22","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"23","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"24","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"25","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"26","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"27","Public","Street","S","S20","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'",5,"N","N"
"28","Public","Parc","S","S73","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'",16,"N","N"
"29","Public","Parc","S","S73","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'",16,"N","N"
"30","Public","Parc","S","S73","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'",16,"N","N"
"31","Public","Parc","S","S73","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'",16,"N","N"
"32","Public","Parc","S","S73","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'",16,"N","N"
