"","X.x","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code.x","Species.Latin.x","DBH","X.y","Cultivar.Code.y","Species.Latin.y","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"1",1,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea",16.5,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"2",2,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea",8.1,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"3",3,"Loyola",2,"Private","Private","Y","Y1011","AB","ABBA","ABBA","Abies Balsamea",16.7,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"4",4,"Loyola",2,"Private","Private","Y","Y1046","AB","ABBA","ABBA","Abies Balsamea",5.2,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"5",5,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",7.2,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"6",6,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",8,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"7",7,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",4.8,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"8",8,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",8.7,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"9",9,"Loyola",2,"Private","Private","Y","Y1086","AB","ABBA","ABBA","Abies Balsamea",14.6,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"10",10,"Loyola",2,"Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'",4.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"11",11,"Loyola",2,"Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'",5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
