Plot,Plot.code,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
Loyola,2,Private,Private,Y,Y1005,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,16.5,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1005,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,8.1,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1011,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,16.7,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1046,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,5.2,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1076,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,7.2,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1076,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,8,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1076,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,4.8,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1076,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,8.7,Y,Y,USDA/TC/LM,
Loyola,2,Private,Private,Y,Y1086,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,14.6,Y,Y,USDA/TC/LM,
Loyola,2,Public,Park,P,P1001,AC,ACFR,ACFR,Acer Freemannii 'Armstrong',FREEMAN MAPLE,4.9,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1001,AC,ACFR,ACFR,Acer Freemannii 'Armstrong',FREEMAN MAPLE,5,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii 'Autumn Blaze',FREEMAN MAPLE,4.8,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,4.9,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,7.7,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,17.4,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,21.5,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,21.8,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,22.9,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,24.4,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,28,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1005,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,32.9,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1006,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,59.7,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1006,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,19.8,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1007,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,16.5,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Park,P,P1007,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,18.7,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Private,Inst,I,I1016,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,84.6,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Private,Inst,I,I1016,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,9.7,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Private,Inst,I,I1002,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,13.4,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Private,Inst,I,I1006,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,83.1,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Private,Inst,I,I1006,AC,ACFR,ACFR,Acer Freemannii,FREEMAN MAPLE,68,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1015,AC,ACFR,ACFR,Acer x freemanii 'Autumn Blaze',FREEMAN MAPLE,7.4,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1027,AC,ACFR,ACFR,Acer x freemanii 'Marmo',FREEMAN MAPLE,NA,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1048,AC,ACFR,ACFR,Acer x freemanii 'Autumn Blaze',FREEMAN MAPLE,12.7,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1051,AC,ACFR,ACFR,Acer x freemanii 'Armstrong',FREEMAN MAPLE,4.5,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1051,AC,ACFR,ACFR,Acer x freemanii 'Autumn Blaze',FREEMAN MAPLE,33,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1051,AC,ACFR,ACFR,Acer x freemanii 'Autumn Blaze',FREEMAN MAPLE,38.3,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
Loyola,2,Public,Row,S,S1062,AC,ACFR,ACFR,Acer x 'freemannii',FREEMAN MAPLE,56.1,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
