"","fid","Sample.Site","Site.Code","Species.Code","Species.Latin","Genus","Latitude","Longitude","DBH","DBH.Round","Basal.Area","Subsite.Code","GS.Type","Classification","Index","Cultivar.Code","Genus.Code","Site.Type","Site.number"
"1","56","BENNY","P1","PHAM","Phellodendron Amurensis 'His Majesty'","Phellodendron","45.466761","-73.632052",4.5,5,0.0019625,"B13","Park","Public",1,"PHAM","PH","P","1"
"2","101","BENNY","P1","ACSC","Acer Saccharum","Acer","45.467302","-73.633105",4.5,5,0.0019625,"B3","Park","Public",2,"ACSC","AC","P","1"
"3","159","BENNY","P1","TIMOHG","Tilia x Mongolica 'Harvest Gold'","Tilia","45.467559","-73.633068",4.5,5,0.0019625,"B45","Park","Public",3,"TIMOHG","TI","P","1"
"4","115","BENNY","P1","RHTY","Rhus Typhina","Rhus","45.4655723","-73.6324726",4.6,5,0.0019625,"B34","Park","Public",4,"RHTY","RH","P","1"
"5","160","BENNY","P1","PIOM","Picea Omorika","Picea","45.467539","-73.633291",4.7,5,0.0019625,"B45","Park","Public",5,"PIOM","PI","P","1"
"6","163","BENNY","P1","ACFR","Acer Freemannii 'Armstrong'","Acer","45.466785","-73.631866",4.9,5,0.0019625,"B46","Park","Public",6,"ACFR","AC","P","1"
"7","65","BENNY","P1","ACFR","Acer Freemannii 'Armstrong'","Acer","45.466579","-73.631368",5,5,0.0019625,"B19","Park","Public",7,"ACFR","AC","P","1"
"8","98","BENNY","P1","BENI","Betula Nigra","Betula","45.466673","-73.63134",5.1,5,0.0019625,"B29","Park","Public",8,"BENI","BE","P","1"
"9","99","BENNY","P1","PNNI","Pinus Nigra 'Austriaca'","Pinus","45.466636","-73.631152",5.2,5,0.0019625,"B29","Park","Public",9,"PNNI","PN","P","1"
"10","12","BENNY","P1","CAAB","Caragana Arborescens","Caragana","45.4663229","-73.6327127",5.3,5,0.0019625,"B11","Park","Public",10,"CAAB","CA","P","1"
"11","224","BENNY","P1","LADE","Larix Decidua","Larix","45.4662161","-73.6334845",5.8,6,0.002826,"B7","Park","Public",11,"LADE","LA","P","1"
"12","57","BENNY","P1","LITU","Liriodendron Tulipifera","Liriodendron","45.467097","-73.632227",6.1,6,0.002826,"B14","Park","Public",12,"LITU","LI","P","1"
"13","176","BENNY","P1","JUCI","Juglans Cinerea","Juglans","45.4660094","-73.6320126",6.2,6,0.002826,"B53","Park","Public",13,"JUCI","JU","P","1"
"14","246","BENNY","P1","MABA","Malus Baccata","Malus","45.466149","-73.632864",6.2,6,0.002826,"B71","Park","Public",14,"MABA","MA","P","1"
"15","116","BENNY","P1","RHTY","Rhus Typhina","Rhus","45.4655723","-73.632486",6.4,6,0.002826,"B34","Park","Public",15,"RHTY","RH","P","1"
"16","247","BENNY","P1","MABA","Malus Baccata","Malus","45.466127","-73.632815",6.5,7,0.0038465,"B71","Park","Public",16,"MABA","MA","P","1"
"17","171","BENNY","P1","LADE","Larix Decidua","Larix","45.4663196","-73.6332608",6.7,7,0.0038465,"B50","Park","Public",17,"LADE","LA","P","1"
"18","13","BENNY","P1","CEOC","Celtis Occidentalis","Celtis","45.4663212","-73.6327304",6.8,7,0.0038465,"B11","Park","Public",18,"CEOC","CE","P","1"
"19","177","BENNY","P1","JUNI","Juglans Nigra","Juglans","45.465962","-73.631974",6.8,7,0.0038465,"B53","Park","Public",19,"JUNI","JU","P","1"
"20","237","BENNY","P1","VILE","Viburnum Lentago","Viburnum","45.4669747","-73.6318081",6.8,7,0.0038465,"B70","Park","Public",20,"VILE","VI","P","1"
"21","107","BENNY","P1","PNNI","Pinus Nigra 'Austriaca'","Pinus","45.4659946","-73.6329413",7.1,7,0.0038465,"B31","Park","Public",21,"PNNI","PN","P","1"
"22","117","BENNY","P1","RHTY","Rhus Typhina","Rhus","45.4655747","-73.6324605",7.1,7,0.0038465,"B34","Park","Public",22,"RHTY","RH","P","1"
"23","102","BENNY","P1","CEOC","Celtis Occidentalis","Celtis","45.4672329","-73.6331277",7.2,7,0.0038465,"B3","Park","Public",23,"CEOC","CE","P","1"
"24","118","BENNY","P1","RHTY","Rhus Typhina","Rhus","45.4655363","-73.632423",7.3,7,0.0038465,"B34","Park","Public",24,"RHTY","RH","P","1"
"25","172","BENNY","P1","LADE","Larix Decidua","Larix","45.4661484","-73.6335123",7.7,8,0.005024,"B51","Park","Public",25,"LADE","LA","P","1"
"26","248","BENNY","P1","MABA","Malus Baccata","Malus","45.466106","-73.632763",7.8,8,0.005024,"B71","Park","Public",26,"MABA","MA","P","1"
"27","108","BENNY","P1","PNSY","Pinus Sylvestris","Pinus","45.4658841","-73.6331271",7.9,8,0.005024,"B31","Park","Public",27,"PNSY","PN","P","1"
"28","178","BENNY","P1","JUCI","Juglans Cinerea","Juglans","45.4660372","-73.6321061",7.9,8,0.005024,"B53","Park","Public",28,"JUCI","JU","P","1"
"29","61","BENNY","P1","QUBI","Quercus Bicolor","Quercus","45.465642","-73.632901",8,8,0.005024,"B18","Park","Public",29,"QUBI","QU","P","1"
"30","71","BENNY","P1","MABA","Malus Baccata","Malus","45.4662023","-73.6329826",8,8,0.005024,"B2","Park","Public",30,"MABA","MA","P","1"
"31","187","BENNY","P1","CAAB","Caragana Arborescens","Caragana","45.4664912","-73.6325618",8.2,8,0.005024,"B55","Park","Public",31,"CAAB","CA","P","1"
"32","188","BENNY","P1","CAAB","Caragana Arborescens","Caragana","45.4664807","-73.6326231",8.3,8,0.005024,"B55","Park","Public",32,"CAAB","CA","P","1"
"33","62","BENNY","P1","PNST","Pinus Strobus","Pinus","45.4657879","-73.6328894",8.5,9,0.0063585,"B18","Park","Public",33,"PNST","PN","P","1"
