AM,AM,AM,Amelanchier,Y,Y,NA
AM,AMAR,AMAR,Amelanchier arborea,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA
AM,AMSA,AMSA,Amelanchier sanguinea,Y,Y,NA
AR,ARSP,ARSP,Aralia Spinosa,N,Y,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html
BR,BRPA,BRPA,Broussonetia papyrifera,N,N,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006341
CA,CAAB,CAAB,Caragana arborescens,N,N,https://treecanada.ca/resources/tree-killers/siberian-peashrub/
CE,CECA,CECA,Cercis canadensis,N,Y,https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/cercis/canadensis.htm
CO,COAL,COAL,Cornus alternifolia,Y,Y,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b992
CO,COSA,COSA,Cornus sanquinea,N,N,NA
CR,CR,CR,Crataegus,NA,NA,NA
CA,CRCO,CRCO,Carya cordiformis,Y,Y,USDA
CO,CTCO,CTCO,Cotinus coggygria,N,N,https://plants.ces.ncsu.edu/plants/cotinus-coggygria/
EL,ELAN,ELAN,Elaeagnus angustifolia,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279922
HE,HEMI,HEMI,Heptacodium miconioides,N,N,http://www.dendrology.org/publications/tree-of-the-year/heptacodium-miconioides-2012/
HY,HY,HY,Hydrangea x,NA,NA,NA
HY,HYAR,HYAR,Hydrangea_arborescens,N,Y,https://www.fs.fed.us/wildflowers/plant-of-the-week/hydrangea-arborescens.shtml
JU,JUVI,JUVI,Juniperus virginiana,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html
LI,LIVU,LIVU,Ligustrum vulgare,N,N,https://www.invasiveplantatlas.org/subject.html?sub=3036
LO,LOPE,LOPE,Lonicera periclymenum,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=
LO,LOPE,LOPE,Lonicera periclymenum,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=
MA,MA,MA,Magnolia x ,N,N,NA
MA,MAIO,MAIO,Malus ioensis,N,Y,http://bonap.net/Napa/TaxonMaps/Genus/County/Malus
MA,MAKO,MAKO,Magnolia_kobus,N,N,NA
MA,MADA,MAXXDA,Magnolia x 'Daybreak',N,N,NA
MA,MASS,MAXXSS,Malus_x_'Spring_Snow',N,N,NA
MA,MATH,MAXXTH,Malus x 'Thunderchild',N,N,NA
MO,MORU,MORU,Morus rubra,N,Y,https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/morus/rubra.htm
PI,PIBA,PIBA,Pinus banksiana,Y,Y,https://srs.fs.usda.gov/pubs/misc/ag_654/volume_1/pinus/banksiana.htm
PO,POCA,POCA,Populus x canadensis,N,N,USDA/TC/Mortens
PR,PR,PR,Prunus x ,NA,NA,NA
RH,RHAR,RHAR,Rhus aromatica,Y,Y,https://www.fs.fed.us/database/feis/plants/shrub/rhuaro/all.html
RH,RHGL,RHGL,Rhus glabra,Y,Y,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=RHGL
RH,RHTY,RHTY,Rhus typhina,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/rhutyp/all.html
RO,ROCA,ROCA,Rosa canina,N,N,https://www.sciencedirect.com/topics/immunology-and-microbiology/rosa-canina
SA,SACA,SACA,Sambucus canadensis,Y,Y,NA
SA,SAHU,SAHU,Salix humboldtiana,N,N,http://orton.catie.ac.cr/repdoc/A0008S/A0008S73.PDF
SO,SOAM,SOAM,Sorbus americana ,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/sorame/all.html
SO,SOTH,SOXXTH,Sorbus_x_thuringiaca,N,N,https://forest.jrc.ec.europa.eu/media/atlas/Sorbus_aria.pdf
MA,MAST,MAST,Magnolia stellata,N,N,NA
SY,SYPU,SYPU,Syringa pubescens,N,N,https://plants.ces.ncsu.edu/plants/syringa-pubescens-subsp-pubescens/
UL,UL,UL,Ulmus,NA,NA,NA
UL,ULMI,ULMI,Ulmus minor Mill.,N,N,https://spain.inaturalist.org/taxa/79461-Ulmus-minor
UL,ULRU,ULRU,Ulmus rubra,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html
UL,ULCA,ULXXCA,Ulmus X 'Cathedral',N,N,NA
UL,ULMG,ULXXMG,Ulmus x 'Morton Glossy' (Triumph TM),N,N,NA
VI,VIAC,VIAC,Viburnum acerifolium,Y,Y,Nhttps://plants.ces.ncsu.edu/plants/viburnum-acerifolium/A
WE,WEFL,WEFL,Weigela x ,N,Y,NA
