"","ACNE","ACSA","AMCA","BEPA","CEOC","FRAM","FRPE","OSVI","PIMA","PODE","PRVI","QUMA","RHGL","ROPS","SOAM","THOC","ULAM"
"A1",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A10",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"A11",5,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0
"A12",0,0,0,0,0,0,1,0,0,1,4,1,0,0,1,0,0
"A13",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"A2",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"A7",1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"A8",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"A9",3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,4
