"","ABBA","ACFR","ACNE","ACRU","ACSA","ACSC","AMAR","AMCA","AMGR","AMLA","BENI","BEPA","CEOC","CGPU","CNRU","CTSP","FAGR","FRAM","FRPE","GLTR","GYDI","JNCO","JNVI","JUNI","LALA","PIGL","PIRU","PNRE","PNST","PODE","PRSE"
"I1",0,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,10,0,0,2,1,0
"I1001",0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I1002",0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0
"I1003",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"I1004",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0
"I1005",0,0,2,0,9,0,0,0,0,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"I1006",0,2,2,0,12,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I1007",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"I1008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I1009",0,0,13,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
"I1010",0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0
"I1011",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
"I1012",0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
"I1013",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"I1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"I1015",0,0,1,1,2,0,0,0,0,0,0,0,9,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"I1016",0,2,9,1,10,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0
"I2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"I3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"I4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,8,0,0,0,0,0,0,0,0,0,0,0
"I5",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"I6",2,3,11,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,8,8,2,0,0,0,4,9,0,2,0,1,0
