"","I1","I2","I3","I4","I5","I6"
"ABBA",0,0,0,0,0,2
"ACFR",5,0,0,0,0,3
"ACGI",0,1,0,0,0,0
"ACNE",2,0,2,0,0,11
"ACPA",0,0,0,0,0,3
"ACPL",51,10,0,0,0,42
"ACRU",2,0,0,0,0,0
"AEHI",3,3,0,0,0,5
"AMCA",1,0,0,0,2,0
"BEPA",0,0,0,0,0,2
"BEPE",0,0,0,0,0,1
"CTSP",0,0,0,0,0,5
"ELAN",1,0,0,0,0,0
"EUAL",6,0,0,0,0,0
"FAGR",1,0,0,0,0,0
"FRPE",3,1,2,67,0,8
"GLTR",2,0,0,8,0,8
"GYDI",0,0,0,0,2,2
"JUNI",1,0,0,0,0,0
"LALA",0,0,0,0,0,4
"MASS",0,0,0,0,0,4
"MASY",0,2,0,0,0,0
"MOAL",3,0,1,0,0,0
"PIAB",11,0,0,0,0,0
"PIGL",10,0,0,0,0,9
"PIPU",15,0,1,0,0,6
"PNNI",22,0,2,0,0,0
"PNRE",0,0,0,0,0,2
"PNST",2,2,0,0,0,0
"PNSY",0,0,0,0,0,1
"PODE",1,0,0,0,0,1
"PRCE",1,0,0,0,0,0
"PRVI",6,0,0,0,0,0
"QUMA",6,0,0,0,0,1
"QURU",8,1,0,0,0,8
"RHCA",1,0,0,0,0,0
"RHTY",2,0,0,0,0,0
"SACA",0,0,0,0,1,0
"SADI",1,0,0,0,0,0
"SYVU",0,3,0,0,0,3
"TACA",19,0,0,0,0,0
"THOC",25,8,7,0,0,2
"TICO",8,6,0,0,0,0
"ULAM",0,0,0,0,1,1
"ULPU",1,0,0,0,4,20
"ULRU",2,0,0,0,0,0
