"","Private","Public"
"ABBA",4,5
"ACFR",12,30
"ACRU",6,0
"ACSA",0,103
"ACSC",0,2
"AM",0,2
"AMAR",11,0
"AMCA",10,4
"AMGR",0,15
"AMSA",2,0
"BEPA",13,1
"BEPO",3,0
"CEOC",0,53
"CGPU",1,0
"COAL",1,0
"CRCO",0,10
"FAGR",1,0
"FRAM",0,1
"FRPE",99,25
"JUCI",1,0
"JUNI",2,1
"JUVI",13,0
"LALA",4,0
"OSVI",1,4
"PIBA",1,0
"PIGL",27,0
"PIMA",8,1
"PIRU",2,0
"PNRE",17,0
"PNST",5,1
"PODE",3,1
"PRVI",21,4
"QUBI",0,6
"QUMA",9,33
"QURU",20,3
"RHAR",2,0
"RHGL",0,1
"RHTY",4,0
"SACA",3,0
"SADI",1,0
"SOAM",2,1
"TACA",40,0
"THOC",213,6
"TIAM",1,17
"TSCA",1,0
"ULAM",29,33
"ULRU",15,0
"VIAC",1,0
