"","X","ABUNDANCE_TOT","ABUNDANCE_NAT","Region","Proportions"
"1","A1",5,"4","ETF",0.8
"2","A10",1,"1","ETF",1
"3","A11",10,"7","ETF",0.7
"4","A12",10,"8","ETF",0.8
"5","A13",7,"7","ETF",1
"6","A2",4,"4","ETF",1
"7","A3",1,"1","ETF",1
"8","A4",3,"3","ETF",1
"9","A5",2,"0","ETF",0
"10","A6",8,"7","ETF",0.875
"11","A7",9,"3","ETF",0.333333333333333
"12","A8",4,"4","ETF",1
"13","A9",13,"12","ETF",0.923076923076923
"14","I1",222,"99","ETF",0.445945945945946
"15","I2",37,"12","ETF",0.324324324324324
"16","I3",15,"11","ETF",0.733333333333333
"17","I4",75,"75","ETF",1
"18","I5",10,"6","ETF",0.6
"19","I6",154,"69","ETF",0.448051948051948
"20","P1",72,"56","ETF",0.777777777777778
"21","P2",17,"7","ETF",0.411764705882353
"22","P3",37,"5","ETF",0.135135135135135
"23","S1",20,"20","ETF",1
"24","S10",7,"5","ETF",0.714285714285714
"25","S100",4,"4","ETF",1
"26","S101",3,"3","ETF",1
"27","S102",7,"6","ETF",0.857142857142857
"28","S103",9,"9","ETF",1
"29","S104",6,"5","ETF",0.833333333333333
"30","S105",8,"8","ETF",1
"31","S106",8,"6","ETF",0.75
"32","S107",8,"8","ETF",1
"33","S108",4,"4","ETF",1
"34","S109",2,"2","ETF",1
"35","S11",7,"7","ETF",1
"36","S110",9,"3","ETF",0.333333333333333
"37","S111",10,"0","ETF",0
"38","S112",4,"4","ETF",1
"39","S113",5,"5","ETF",1
"40","S114",6,"6","ETF",1
"41","S116",1,"1","ETF",1
"42","S117",10,"10","ETF",1
"43","S119",7,"7","ETF",1
"44","S12",6,"6","ETF",1
"45","S120",13,"12","ETF",0.923076923076923
"46","S121",10,"10","ETF",1
"47","S123",6,"1","ETF",0.166666666666667
"48","S124",8,"3","ETF",0.375
"49","S125",6,"1","ETF",0.166666666666667
"50","S126",2,"2","ETF",1
"51","S127",5,"3","ETF",0.6
"52","S13",5,"0","ETF",0
"53","S14",7,"6","ETF",0.857142857142857
"54","S15",6,"6","ETF",1
"55","S16",12,"11","ETF",0.916666666666667
"56","S17",5,"0","ETF",0
"57","S18",9,"5","ETF",0.555555555555556
"58","S19",7,"0","ETF",0
"59","S2",8,"7","ETF",0.875
"60","S20",7,"3","ETF",0.428571428571429
"61","S21",6,"6","ETF",1
"62","S22",11,"2","ETF",0.181818181818182
"63","S24",10,"5","ETF",0.5
"64","S25",7,"6","ETF",0.857142857142857
"65","S26",5,"2","ETF",0.4
"66","S27",8,"0","ETF",0
"67","S28",1,"1","ETF",1
"68","S29",3,"2","ETF",0.666666666666667
"69","S3",10,"3","ETF",0.3
"70","S30",7,"0","ETF",0
"71","S31",4,"1","ETF",0.25
"72","S32",5,"5","ETF",1
