"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"1","A1",3,2,0.666666666666667,"ETF"
"2","A10",1,1,1,"ETF"
"3","A11",6,3,0.5,"ETF"
"4","A12",6,5,0.833333333333333,"ETF"
"5","A13",3,3,1,"ETF"
"6","A2",2,2,1,"ETF"
"7","A3",1,1,1,"ETF"
"8","A4",2,2,1,"ETF"
"9","A5",2,0,0,"ETF"
"10","A6",3,2,0.666666666666667,"ETF"
"11","A7",4,2,0.5,"ETF"
"12","A8",2,2,1,"ETF"
"13","A9",5,4,0.8,"ETF"
"14","I1",31,19,0.612903225806452,"ETF"
"15","I2",10,4,0.4,"ETF"
"16","I3",6,3,0.5,"ETF"
"17","I4",2,2,1,"ETF"
"18","I5",5,4,0.8,"ETF"
"19","I6",25,16,0.64,"ETF"
"20","P1",10,7,0.7,"ETF"
"21","P2",6,3,0.5,"ETF"
"22","P3",8,3,0.375,"ETF"
"23","S1",2,2,1,"ETF"
"24","S10",4,2,0.5,"ETF"
"25","S100",1,1,1,"ETF"
"26","S101",3,3,1,"ETF"
"27","S102",3,2,0.666666666666667,"ETF"
"28","S103",1,1,1,"ETF"
"29","S104",3,2,0.666666666666667,"ETF"
"30","S105",1,1,1,"ETF"
"31","S106",3,2,0.666666666666667,"ETF"
"32","S107",1,1,1,"ETF"
"33","S108",1,1,1,"ETF"
"34","S109",1,1,1,"ETF"
"35","S11",3,3,1,"ETF"
"36","S110",3,1,0.333333333333333,"ETF"
"37","S111",1,0,0,"ETF"
"38","S112",1,1,1,"ETF"
"39","S113",1,1,1,"ETF"
"40","S114",1,1,1,"ETF"
"41","S116",1,1,1,"ETF"
"42","S117",2,2,1,"ETF"
"43","S119",3,3,1,"ETF"
"44","S12",1,1,1,"ETF"
"45","S120",8,7,0.875,"ETF"
"46","S121",1,1,1,"ETF"
"47","S123",2,1,0.5,"ETF"
"48","S124",5,2,0.4,"ETF"
"49","S125",3,1,0.333333333333333,"ETF"
"50","S126",1,1,1,"ETF"
"51","S127",4,3,0.75,"ETF"
"52","S13",2,0,0,"ETF"
"53","S14",2,1,0.5,"ETF"
"54","S15",2,2,1,"ETF"
"55","S16",3,2,0.666666666666667,"ETF"
"56","S17",2,0,0,"ETF"
"57","S18",4,3,0.75,"ETF"
"58","S19",2,0,0,"ETF"
"59","S2",3,2,0.666666666666667,"ETF"
"60","S20",3,1,0.333333333333333,"ETF"
"61","S21",2,2,1,"ETF"
"62","S22",3,1,0.333333333333333,"ETF"
"63","S24",5,3,0.6,"ETF"
"64","S25",3,2,0.666666666666667,"ETF"
"65","S26",5,2,0.4,"ETF"
"66","S27",1,0,0,"ETF"
"67","S28",1,1,1,"ETF"
"68","S29",2,1,0.5,"ETF"
"69","S3",4,2,0.5,"ETF"
"70","S30",4,0,0,"ETF"
"71","S31",2,1,0.5,"ETF"
"72","S32",2,2,1,"ETF"
"73","S33",4,2,0.5,"ETF"
"74","S34",4,3,0.75,"ETF"
"75","S35",2,1,0.5,"ETF"
"76","S36",3,3,1,"ETF"
"77","S37",2,1,0.5,"ETF"
"78","S38",3,1,0.333333333333333,"ETF"
"79","S39",1,0,0,"ETF"
"80","S4",2,1,0.5,"ETF"
"81","S40",3,0,0,"ETF"
"82","S41",2,2,1,"ETF"
"83","S42",3,2,0.666666666666667,"ETF"
"84","S43",2,2,1,"ETF"
"85","S44",4,2,0.5,"ETF"
"86","S45",3,1,0.333333333333333,"ETF"
"87","S46",1,1,1,"ETF"
"88","S47",3,1,0.333333333333333,"ETF"
"89","S48",2,1,0.5,"ETF"
"90","S49",2,1,0.5,"ETF"
"91","S5",3,2,0.666666666666667,"ETF"
"92","S50",1,1,1,"ETF"
