Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Equations,Type of Tree
AB,ABBA,ABBA,Abies balsamea,,Conifer
AC,ACFR,ACFR,Acer freemanii,,Deciduous
AC,ACGI,ACGI,Acer ginnala,,Deciduous
AC,ACNE,ACNE,Acer negundo,,Deciduous
AC,ACNI,ACNIGC,Acer nigrum 'Green Column',,Deciduous
AC,ACPA,ACPA,Acer palmatum,,Deciduous
AC,ACPL,ACPL,Acer platanoides,,Deciduous
AC,ACPL,ACPLCO,Acer platanoides 'Columnare',,Deciduous
AC,ACPL,ACPLDE,Acer platanoides 'Deborah',,Deciduous
AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',,Deciduous
AC,ACRU,ACRU,Acer rubrum,,Deciduous
AC,ACSA,ACSA,Acer saccharinum,,Deciduous
AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',,Deciduous
AC,ACSC,ACSC,Acer saccharum,,Deciduous
AC,ACTA,ACTA,Acer tataricum,,Deciduous
AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',,Deciduous
AE,AEGL,AEGL,Aesculus glabra,,Deciduous
AE,AEHI,AEHI,Aesculus hippocastanum,,Deciduous
AL,ALGL,ALGL,Alnus glutinosa,,Deciduous
AM,AM,AM,Amelanchier,,Deciduous
AM,AMAR,AMAR,Amelanchier arborea,,Deciduous
AM,AMCA,AMCA,Amelanchier canadensis,,Deciduous
AM,AMSA,AMSA,Amelanchier sanguinea,,Deciduous
AM,AMGR,AMGR,Amelanchier x grandiflora,,Deciduous
AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',,Deciduous
AR,ARSP,ARSP,Aralia Spinosa,,Deciduous
BE,BENI,BENIHE,Betula nigra 'Heritage',,Deciduous
BE,BEPA,BEPA,Betula papyrifera,,Deciduous
BE,BEPE,BEPE,Betula pendula,,Deciduous
BE,BEPO,BEPO,Betula populifolia,,Deciduous
BR,BRPA,BRPA,Broussonetia papyrifera,,Deciduous
CA,CAAB,CAAB,Caragana arborescens,,Deciduous
CR,CRCO,CRCO,Carya cordiformis,,Deciduous
CT,CTSP,CTSP,Catalpa speciosa,,Deciduous
CE,CEOC,CEOC,Celtis occidentalis,,Deciduous
CD,CDJA,CDJA,Cercidiphyllum japonicum,,Deciduous
CE,CECA,CECA,Cercis canadensis,,Deciduous
CO,COAL,COAL,Cornus alternifolia,,Deciduous
CO,COSA,COSA,Cornus sanquinea,,Deciduous
CT,CTCO,CTCO,Cotinus coggygria,,Deciduous
CG,CG,CG,Crataegus,,Deciduous
CG,CGPU,CGPU,Crataegus punctata,,Deciduous
CG,CGMO,CGMO,Crataegus x mordensis,,Deciduous
CP,CPCA,CPCA,Cupressus cashmeriana,,Conifer
EL,ELAN,ELAN,Elaeagnus angustifolia,,Deciduous
EU,EUAL,EUAL,Euonymus alatus,,Deciduous
EU,EUEU,EUEU,Euonymus europaeus,,Deciduous
FA,FAGR,FAGR,Fagus Grandifolia,,Deciduous
