"","Site.Type","Site.Code","Genus.Code","Species.Code"
"1","I","I6","AB","ABBA"
"2","I","I6","AC","ACFR"
"3","I","I6","AC","ACFR"
"4","I","I2","AC","ACGI"
"5","A","A1","AC","ACNE"
"6","P","P1","AC","ACNI"
"7","I","I6","AC","ACPA"
"8","I","I6","AC","ACPL"
"9","S","S20","AC","ACPL"
"10","S","S73","AC","ACPL"
"11","S","S3","AC","ACPL"
"12","I","I1","AC","ACRU"
"13","A","A7","AC","ACSA"
"14",NA,NA,"AC","ACSA"
"15","S","S3","AC","ACSA"
"16","I","I4","AC","ACSC"
"17","Y","Y44","AC","ACTA"
"18","S","S75","AE","AEGL"
"19","A","A7","AE","AEHI"
"20","Y","Y67","AL","ALGL"
"21","P","P3","AM","AM"
"22","Y","Y48","AM","AMAR"
"23","A","A9","AM","AMCA"
"24","S","S1","AM","AMGR"
"25","S","S1","AM","AMGR"
"26","Y","Y86","AM","AMSA"
"27","Y","Y113","AR","ARSP"
"28","S","S124","BE","BENI"
"29","A","A2","BE","BEPA"
"30","I","I6","BE","BEPE"
"31","Y","Y3","BE","BEPO"
"32","Y","Y151","BR","BRPA"
"33","Y","Y56","CA","CAAB"
"34","S","S55","CD","CDJA"
"35","Y","Y156","CE","CECA"
"36","A","A10","CE","CEOC"
"37","I","I6","CG","CG"
"38","P","P2","CG","CGMO"
"39","Y","Y146","CG","CGPU"
"40","Y","Y132","CO","COAL"
"41","A","A6","CO","COSA"
"42","S","S1","CR","CRCO"
"43","Y","Y26","CT","CTCO"
"44","I","I6","CT","CTSP"
"45","Y","Y26","CU","CUCA"
"46","I","I1","EL","ELAN"
"47","Y","Y132","LO","LOPE"
"48","I","I1","EU","EUAL"
"49","Y","Y3","EU","EUEU"
"50","I","I1","FA","FAGR"
"51",NA,NA,"FR","FR"
"52","A","A1","FR","FRAM"
"53","A","A12","FR","FRPE"
"54","S","S62","FR","FRPE"
"55","S","S90","FR","FRPE"
"56","Y","Y103","FR","FRPR"
"57","P","P3","GI","GIBI"
"58","S","S89","GI","GIBI"
"59","I","I4","GL","GLTR"
"60","P","P2","GL","GLTR"
"61","S","S46","GL","GLTR"
"62","P","P1","GL","GLTR"
"63","P","P1","GL","GLTR"
"64","I","I6","GY","GYDI"
"65","Y","Y136","HE","HEMI"
"66","Y","Y118","HY","HY"
"67","Y","Y115","HY","HYAR"
"68","Y","Y137","HY","HYPA"
"69","Y","Y114","JU","JUCI"
"70","I","I1","JU","JUNI"
"71","Y","Y67","JU","JUVI"
"72","Y","Y156","LA","LADE"
"73","I","I6","LA","LALA"
"74","Y","Y7","LI","LIVU"
"75","I","I6","MA","MA"
"76","Y","Y13","MG","MG"
"77","Y","Y74","MA","MAIO"
