"","Private","Public"
"ABBA",4,5
"ACFR",14,30
"ACNE",113,1
"ACRU",6,0
"ACSA",126,103
"ACSC",37,2
"AEGL",0,3
"AM",0,2
"AMAR",11,0
"AMCA",13,1
"AMGR",0,15
"AMSA",2,0
"ARSP",5,0
"BENI",0,1
"BEPA",14,0
"BEPO",3,0
"CECA",2,0
"CEOC",32,53
"CGPU",1,0
"COAL",1,0
"CPCA",1,0
"CRCO",0,10
"CTSP",9,1
"FAGR",1,0
"FRAM",1,0
"FRPE",101,23
"FRPR",1,0
"GLTR",62,139
"GYDI",12,94
"HYAR",1,0
"JUCI",1,0
"JUNI",3,1
"JUVI",13,0
"LALA",4,0
"MAIO",9,0
"MORU",1,0
"OSVI",3,2
"PIBA",1,0
"PIGL",28,0
"PIMA",9,0
"PIRU",2,0
"PNRE",17,0
"PNST",5,1
"PODE",4,0
"PRVI",26,0
"QUBI",0,6
"QUMA",10,32
"QURU",20,3
"RHAR",2,0
"RHGL",1,0
"RHTY",4,0
"ROPS",25,2
"SACA",3,0
"SADI",1,0
"SOAM",6,0
"TACA",40,0
"THOC",219,0
"TIAM",16,17
"TSCA",1,0
"ULAM",36,26
"ULRU",15,0
"VIAC",1,0
"WEFL",1,0
