"","Private","Public"
"ABBA",13,5
"ACFR",20,72
"ACRU",12,9
"ACSA",68,551
"ACSC",2,37
"AM",0,2
"AMAR",12,2
"AMCA",18,8
"AMGR",2,18
"AMLA",2,2
"AMSA",2,0
"BEAL",2,5
"BEPA",16,1
"BEPO",4,0
"CEOC",22,138
"CGPU",5,6
"CNRU",1,0
"COAL",1,0
"CRCA",0,9
"CRCO",0,10
"CYCO",2,0
"FAGR",2,0
"FRAM",7,17
"FRPE",112,173
"JNCO",6,1
"JNVI",11,0
"JUCI",1,6
"JUNI",3,20
"JUVI",13,0
"LALA",5,10
"OSVI",1,11
"PIBA",1,0
"PIGL",35,16
"PIMA",9,1
"PIRU",11,7
"PNRE",20,4
"PNST",10,4
"PODE",5,3
"PRNI",0,2
"PRSE",3,1
"PRVI",35,17
"QUAL",1,3
"QUBI",2,14
"QUMA",14,54
"QURU",22,64
"RHAR",2,0
"RHGL",0,1
"RHTY",4,0
"RUTY",4,9
"SACA",3,0
"SADI",2,0
"SOAM",2,1
"TACA",77,5
"THOC",664,131
"TIAM",11,53
"TSCA",2,0
"ULAM",59,44
"ULRU",15,0
"VIAC",1,0
"VILE",1,29
