"","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Region","ABUNDANCE_TOT","ABUNDANCE_NAT","Proportion_ABUND","RICHNESS","RICHNESS_NAT","Proportion_RICH"
"1","Dawson",1,"Private","Institutional","I","I1","ETF",222,99,0.445945945945946,31,19,0.612903225806452
"2","Dawson",1,"Private","Institutional","I","I1","SLL",222,95,0.427927927927928,31,17,0.548387096774194
"3","Dawson",1,"Private","Institutional","I","I2","ETF",37,12,0.324324324324324,10,4,0.4
"4","Dawson",1,"Private","Institutional","I","I2","SLL",37,12,0.324324324324324,10,4,0.4
"5","Dawson",1,"Private","Institutional","I","I3","ETF",15,11,0.733333333333333,6,3,0.5
"6","Dawson",1,"Private","Institutional","I","I3","SLL",15,9,0.6,6,2,0.333333333333333
"7","Dawson",1,"Private","Institutional","I","I4","ETF",75,75,1,2,2,1
"8","Dawson",1,"Private","Institutional","I","I4","SLL",75,67,0.893333333333333,2,1,0.5
"9","Dawson",1,"Private","Institutional","I","I5","ETF",10,6,0.6,5,4,0.8
"10","Dawson",1,"Private","Institutional","I","I5","SLL",10,4,0.4,5,3,0.6
"11","Dawson",1,"Private","Institutional","I","I6","ETF",154,69,0.448051948051948,25,16,0.64
"12","Dawson",1,"Private","Institutional","I","I6","SLL",154,43,0.279220779220779,25,12,0.48
"13","Dawson",1,"Private","Private","A","A4","ETF",3,3,1,2,2,1
"14","Dawson",1,"Private","Private","A","A4","SLL",3,1,0.333333333333333,2,1,0.5
"15","Dawson",1,"Private","Private","A","A5","ETF",2,0,0,2,0,0
"16","Dawson",1,"Private","Private","A","A5","SLL",2,0,0,2,0,0
"17","Dawson",1,"Private","Private","Y","Y1","ETF",2,1,0.5,2,1,0.5
"18","Dawson",1,"Private","Private","Y","Y1","SLL",2,0,0,2,0,0
"19","Dawson",1,"Private","Private","Y","Y100","ETF",1,1,1,1,1,1
"20","Dawson",1,"Private","Private","Y","Y100","SLL",1,1,1,1,1,1
"21","Dawson",1,"Private","Private","Y","Y101","ETF",1,1,1,1,1,1
"22","Dawson",1,"Private","Private","Y","Y101","SLL",1,1,1,1,1,1
"23","Dawson",1,"Private","Private","Y","Y102","ETF",1,1,1,1,1,1
"24","Dawson",1,"Private","Private","Y","Y102","SLL",1,1,1,1,1,1
"25","Dawson",1,"Private","Private","Y","Y103","ETF",5,4,0.8,4,3,0.75
"26","Dawson",1,"Private","Private","Y","Y103","SLL",5,3,0.6,4,2,0.5
"27","Dawson",1,"Private","Private","Y","Y104","ETF",1,0,0,1,0,0
"28","Dawson",1,"Private","Private","Y","Y104","SLL",1,0,0,1,0,0
"29","Dawson",1,"Private","Private","Y","Y105","ETF",1,1,1,1,1,1
"30","Dawson",1,"Private","Private","Y","Y105","SLL",1,1,1,1,1,1
"31","Dawson",1,"Private","Private","Y","Y106","ETF",1,1,1,1,1,1
"32","Dawson",1,"Private","Private","Y","Y106","SLL",1,1,1,1,1,1
"33","Dawson",1,"Private","Private","Y","Y107","ETF",5,5,1,1,1,1
"34","Dawson",1,"Private","Private","Y","Y107","SLL",5,5,1,1,1,1
"35","Dawson",1,"Private","Private","Y","Y108","ETF",2,1,0.5,2,1,0.5
"36","Dawson",1,"Private","Private","Y","Y108","SLL",2,1,0.5,2,1,0.5
"37","Dawson",1,"Private","Private","Y","Y109","ETF",1,1,1,1,1,1
"38","Dawson",1,"Private","Private","Y","Y109","SLL",1,1,1,1,1,1
"39","Dawson",1,"Private","Private","Y","Y11","ETF",8,2,0.25,3,1,0.333333333333333
"40","Dawson",1,"Private","Private","Y","Y11","SLL",8,2,0.25,3,1,0.333333333333333
"41","Dawson",1,"Private","Private","Y","Y110","ETF",7,2,0.285714285714286,3,1,0.333333333333333
"42","Dawson",1,"Private","Private","Y","Y110","SLL",7,2,0.285714285714286,3,1,0.333333333333333
"43","Dawson",1,"Private","Private","Y","Y111","ETF",1,1,1,1,1,1
"44","Dawson",1,"Private","Private","Y","Y111","SLL",1,0,0,1,0,0
"45","Dawson",1,"Private","Private","Y","Y112","ETF",2,0,0,1,0,0
"46","Dawson",1,"Private","Private","Y","Y112","SLL",2,0,0,1,0,0
"47","Dawson",1,"Private","Private","Y","Y113","ETF",70,48,0.685714285714286,14,8,0.571428571428571
"48","Dawson",1,"Private","Private","Y","Y113","SLL",70,29,0.414285714285714,14,4,0.285714285714286
"49","Dawson",1,"Private","Private","Y","Y114","ETF",22,12,0.545454545454545,11,7,0.636363636363636
"50","Dawson",1,"Private","Private","Y","Y114","SLL",22,9,0.409090909090909,11,6,0.545454545454545
"51","Dawson",1,"Private","Private","Y","Y115","ETF",5,5,1,2,2,1
"52","Dawson",1,"Private","Private","Y","Y115","SLL",5,4,0.8,2,1,0.5
"53","Dawson",1,"Private","Private","Y","Y116","ETF",10,1,0.1,4,1,0.25
"54","Dawson",1,"Private","Private","Y","Y116","SLL",10,1,0.1,4,1,0.25
"55","Dawson",1,"Private","Private","Y","Y117","ETF",2,0,0,1,0,0
"56","Dawson",1,"Private","Private","Y","Y117","SLL",2,0,0,1,0,0
"57","Dawson",1,"Private","Private","Y","Y118","ETF",118,56,0.474576271186441,26,11,0.423076923076923
"58","Dawson",1,"Private","Private","Y","Y118","SLL",118,39,0.330508474576271,26,8,0.307692307692308
"59","Dawson",1,"Private","Private","Y","Y119","ETF",21,11,0.523809523809524,5,3,0.6
"60","Dawson",1,"Private","Private","Y","Y119","SLL",21,4,0.19047619047619,5,1,0.2
"61","Dawson",1,"Private","Private","Y","Y12","ETF",1,1,1,1,1,1
"62","Dawson",1,"Private","Private","Y","Y12","SLL",1,0,0,1,0,0
"63","Dawson",1,"Private","Private","Y","Y120","ETF",1,1,1,1,1,1
"64","Dawson",1,"Private","Private","Y","Y120","SLL",1,0,0,1,0,0
"65","Dawson",1,"Private","Private","Y","Y121","ETF",1,1,1,1,1,1
"66","Dawson",1,"Private","Private","Y","Y121","SLL",1,0,0,1,0,0
"67","Dawson",1,"Private","Private","Y","Y122","ETF",1,1,1,1,1,1
"68","Dawson",1,"Private","Private","Y","Y122","SLL",1,0,0,1,0,0
"69","Dawson",1,"Private","Private","Y","Y123","ETF",1,1,1,1,1,1
"70","Dawson",1,"Private","Private","Y","Y123","SLL",1,0,0,1,0,0
"71","Dawson",1,"Private","Private","Y","Y124","ETF",1,0,0,1,0,0
"72","Dawson",1,"Private","Private","Y","Y124","SLL",1,0,0,1,0,0
"73","Dawson",1,"Private","Private","Y","Y125","ETF",4,0,0,2,0,0
"74","Dawson",1,"Private","Private","Y","Y125","SLL",4,0,0,2,0,0
"75","Dawson",1,"Private","Private","Y","Y127","ETF",11,5,0.454545454545455,9,4,0.444444444444444
"76","Dawson",1,"Private","Private","Y","Y127","SLL",11,2,0.181818181818182,9,2,0.222222222222222
"77","Dawson",1,"Private","Private","Y","Y128","ETF",2,2,1,2,2,1
"78","Dawson",1,"Private","Private","Y","Y128","SLL",2,1,0.5,2,1,0.5
"79","Dawson",1,"Private","Private","Y","Y129","ETF",2,1,0.5,2,1,0.5
"80","Dawson",1,"Private","Private","Y","Y129","SLL",2,0,0,2,0,0
"81","Dawson",1,"Private","Private","Y","Y13","ETF",13,8,0.615384615384615,8,5,0.625
"82","Dawson",1,"Private","Private","Y","Y13","SLL",13,7,0.538461538461538,8,4,0.5
"83","Dawson",1,"Private","Private","Y","Y131","ETF",1,0,0,1,0,0
"84","Dawson",1,"Private","Private","Y","Y131","SLL",1,0,0,1,0,0
"85","Dawson",1,"Private","Private","Y","Y132","ETF",27,13,0.481481481481481,15,8,0.533333333333333
"86","Dawson",1,"Private","Private","Y","Y132","SLL",27,11,0.407407407407407,15,6,0.4
"87","Dawson",1,"Private","Private","Y","Y133","ETF",2,2,1,1,1,1
"88","Dawson",1,"Private","Private","Y","Y133","SLL",2,0,0,1,0,0
"89","Dawson",1,"Private","Private","Y","Y134","ETF",9,8,0.888888888888889,2,1,0.5
"90","Dawson",1,"Private","Private","Y","Y134","SLL",9,8,0.888888888888889,2,1,0.5
"91","Dawson",1,"Private","Private","Y","Y135","ETF",9,7,0.777777777777778,4,2,0.5
"92","Dawson",1,"Private","Private","Y","Y135","SLL",9,7,0.777777777777778,4,2,0.5
"93","Dawson",1,"Private","Private","Y","Y136","ETF",4,0,0,3,0,0
"94","Dawson",1,"Private","Private","Y","Y136","SLL",4,0,0,3,0,0
"95","Dawson",1,"Private","Private","Y","Y137","ETF",26,22,0.846153846153846,6,2,0.333333333333333
"96","Dawson",1,"Private","Private","Y","Y137","SLL",26,22,0.846153846153846,6,2,0.333333333333333
"97","Dawson",1,"Private","Private","Y","Y138","ETF",14,14,1,2,2,1
"98","Dawson",1,"Private","Private","Y","Y138","SLL",14,14,1,2,2,1
"99","Dawson",1,"Private","Private","Y","Y139","ETF",32,14,0.4375,8,4,0.5
"100","Dawson",1,"Private","Private","Y","Y139","SLL",32,8,0.25,8,1,0.125
"101","Dawson",1,"Private","Private","Y","Y14","ETF",3,1,0.333333333333333,2,1,0.5
"102","Dawson",1,"Private","Private","Y","Y14","SLL",3,1,0.333333333333333,2,1,0.5
"103","Dawson",1,"Private","Private","Y","Y140","ETF",20,17,0.85,4,3,0.75
"104","Dawson",1,"Private","Private","Y","Y140","SLL",20,2,0.1,4,1,0.25
"105","Dawson",1,"Private","Private","Y","Y141","ETF",5,5,1,3,3,1
"106","Dawson",1,"Private","Private","Y","Y141","SLL",5,3,0.6,3,1,0.333333333333333
"107","Dawson",1,"Private","Private","Y","Y142","ETF",10,4,0.4,4,1,0.25
"108","Dawson",1,"Private","Private","Y","Y142","SLL",10,0,0,4,0,0
"109","Dawson",1,"Private","Private","Y","Y143","ETF",40,28,0.7,8,6,0.75
"110","Dawson",1,"Private","Private","Y","Y143","SLL",40,28,0.7,8,6,0.75
"111","Dawson",1,"Private","Private","Y","Y144","ETF",11,6,0.545454545454545,2,1,0.5
"112","Dawson",1,"Private","Private","Y","Y144","SLL",11,0,0,2,0,0
"113","Dawson",1,"Private","Private","Y","Y145","ETF",1,0,0,1,0,0
"114","Dawson",1,"Private","Private","Y","Y145","SLL",1,0,0,1,0,0
"115","Dawson",1,"Private","Private","Y","Y146","ETF",3,1,0.333333333333333,3,1,0.333333333333333
"116","Dawson",1,"Private","Private","Y","Y146","SLL",3,1,0.333333333333333,3,1,0.333333333333333
"117","Dawson",1,"Private","Private","Y","Y147","ETF",6,2,0.333333333333333,6,2,0.333333333333333
"118","Dawson",1,"Private","Private","Y","Y147","SLL",6,2,0.333333333333333,6,2,0.333333333333333
"119","Dawson",1,"Private","Private","Y","Y148","ETF",1,0,0,1,0,0
"120","Dawson",1,"Private","Private","Y","Y148","SLL",1,0,0,1,0,0
"121","Dawson",1,"Private","Private","Y","Y149","ETF",25,13,0.52,10,3,0.3
"122","Dawson",1,"Private","Private","Y","Y149","SLL",25,12,0.48,10,2,0.2
"123","Dawson",1,"Private","Private","Y","Y15","ETF",2,2,1,1,1,1
"124","Dawson",1,"Private","Private","Y","Y15","SLL",2,0,0,1,0,0
"125","Dawson",1,"Private","Private","Y","Y150","ETF",3,2,0.666666666666667,3,2,0.666666666666667
"126","Dawson",1,"Private","Private","Y","Y150","SLL",3,1,0.333333333333333,3,1,0.333333333333333
"127","Dawson",1,"Private","Private","Y","Y151","ETF",24,3,0.125,5,1,0.2
"128","Dawson",1,"Private","Private","Y","Y151","SLL",24,3,0.125,5,1,0.2
"129","Dawson",1,"Private","Private","Y","Y152","ETF",42,17,0.404761904761905,16,8,0.5
"130","Dawson",1,"Private","Private","Y","Y152","SLL",42,16,0.380952380952381,16,7,0.4375
"131","Dawson",1,"Private","Private","Y","Y153","ETF",2,2,1,2,2,1
"132","Dawson",1,"Private","Private","Y","Y153","SLL",2,1,0.5,2,1,0.5
"133","Dawson",1,"Private","Private","Y","Y154","ETF",5,4,0.8,5,4,0.8
"134","Dawson",1,"Private","Private","Y","Y154","SLL",5,2,0.4,5,2,0.4
"135","Dawson",1,"Private","Private","Y","Y155","ETF",8,7,0.875,3,2,0.666666666666667
"136","Dawson",1,"Private","Private","Y","Y155","SLL",8,7,0.875,3,2,0.666666666666667
"137","Dawson",1,"Private","Private","Y","Y156","ETF",26,8,0.307692307692308,17,5,0.294117647058824
"138","Dawson",1,"Private","Private","Y","Y156","SLL",26,3,0.115384615384615,17,3,0.176470588235294
