"","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","DBH"
"1","Loyola","2","Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea",16.5
"2","Loyola","2","Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea",8.1
"3","Loyola","2","Private","Private","Y","Y1011","AB","ABBA","ABBA","Abies Balsamea",16.7
"4","Loyola","2","Private","Private","Y","Y1046","AB","ABBA","ABBA","Abies Balsamea",5.2
"5","Loyola","2","Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",7.2
"6","Loyola","2","Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",8
"7","Loyola","2","Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",4.8
"8","Loyola","2","Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",8.7
"9","Loyola","2","Private","Private","Y","Y1086","AB","ABBA","ABBA","Abies Balsamea",14.6
"10","Loyola","2","Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'",4.9
"11","Loyola","2","Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'",5
"12","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii 'Autumn Blaze'",4.8
"13","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",4.9
"14","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",7.7
"15","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",17.4
"16","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",21.5
"17","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",21.8
"18","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",22.9
"19","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",24.4
"20","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",28
"21","Loyola","2","Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",32.9
"22","Loyola","2","Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii",59.7
"23","Loyola","2","Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii",19.8
"24","Loyola","2","Public","Park","P","P1007","AC","ACFR","ACFR","Acer Freemannii",16.5
"25","Loyola","2","Public","Park","P","P1007","AC","ACFR","ACFR","Acer Freemannii",18.7
"26","Loyola","2","Private","Inst","I","I1016","AC","ACFR","ACFR","Acer Freemannii",84.6
"27","Loyola","2","Private","Inst","I","I1016","AC","ACFR","ACFR","Acer Freemannii",9.7
"28","Loyola","2","Private","Inst","I","I1002","AC","ACFR","ACFR","Acer Freemannii",13.4
"29","Loyola","2","Private","Inst","I","I1006","AC","ACFR","ACFR","Acer Freemannii",83.1
"30","Loyola","2","Private","Inst","I","I1006","AC","ACFR","ACFR","Acer Freemannii",68
"31","Loyola","2","Public","Row","S","S1015","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",7.4
"32","Loyola","2","Public","Row","S","S1027","AC","ACFR","ACFR","Acer x freemanii 'Marmo'",NA
"33","Loyola","2","Public","Row","S","S1048","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",12.7
"34","Loyola","2","Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'",4.5
"35","Loyola","2","Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",33
