"","ACFR","ACGI","ACNE","ACNI","ACPL","ACRU","ACSA","ACSC","ACTA","AEHI","AM","AMAR","AMCA","BBVU","BEAL","BENI","CAAB","CDJA","CEOC","CGMO","CGPU","COCO"
"P1",1,0,0,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1001",2,0,3,0,6,0,23,3,0,0,0,0,0,0,0,1,27,0,2,0,0,0
"P1002",0,5,11,0,1,0,17,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1003",0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"P1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"P1005",10,0,0,0,47,1,6,18,2,0,0,2,0,5,0,1,0,3,15,1,5,7
"P1006",2,1,1,0,97,5,81,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"P1007",2,0,1,0,23,0,17,0,0,0,0,0,1,0,0,4,0,0,8,0,0,0
"P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P3",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
