"","X","ABUNDANCE_TOT","ABUNDANCE_NAT","Region","Proportions"
"1","A1",5,4,"ETF",0.8
"2","A10",4,4,"ETF",1
"3","A11",18,15,"ETF",0.833333333333333
"4","A12",10,8,"ETF",0.8
"5","A13",7,7,"ETF",1
"6","A2",4,4,"ETF",1
"7","A3",1,1,"ETF",1
"8","A4",3,3,"ETF",1
"9","A5",2,0,"ETF",0
"10","A6",8,7,"ETF",0.875
"11","A7",10,4,"ETF",0.4
"12","A8",4,4,"ETF",1
"13","A9",13,12,"ETF",0.923076923076923
"14","I1",261,138,"ETF",0.528735632183908
"15","I2",50,25,"ETF",0.5
"16","I3",15,11,"ETF",0.733333333333333
"17","I4",95,95,"ETF",1
"18","I5",13,9,"ETF",0.692307692307692
"19","I6",219,127,"ETF",0.579908675799087
"20","P1",72,56,"ETF",0.777777777777778
"21","P2",17,7,"ETF",0.411764705882353
"22","P3",37,5,"ETF",0.135135135135135
"23","R1",2,1,"ETF",0.5
"24","R10",1,1,"ETF",1
"25","R100",1,1,"ETF",1
"26","R101",1,1,"ETF",1
"27","R102",1,1,"ETF",1
"28","R103",13,9,"ETF",0.692307692307692
"29","R104",1,0,"ETF",0
"30","R105",1,1,"ETF",1
"31","R106",1,1,"ETF",1
"32","R107",5,5,"ETF",1
"33","R108",2,1,"ETF",0.5
"34","R109",1,1,"ETF",1
"35","R11",8,2,"ETF",0.25
"36","R110",8,3,"ETF",0.375
"37","R111",1,1,"ETF",1
"38","R112",2,0,"ETF",0
"39","R113",74,52,"ETF",0.702702702702703
"40","R114",25,14,"ETF",0.56
"41","R115",5,5,"ETF",1
"42","R116",11,2,"ETF",0.181818181818182
"43","R117",8,6,"ETF",0.75
"44","R118",125,58,"ETF",0.464
"45","R119",21,11,"ETF",0.523809523809524
"46","R12",1,1,"ETF",1
"47","R120",1,1,"ETF",1
"48","R121",1,1,"ETF",1
"49","R122",1,1,"ETF",1
"50","R123",1,1,"ETF",1
"51","R124",1,0,"ETF",0
"52","R125",4,0,"ETF",0
"53","R126",1,1,"ETF",1
"54","R127",13,6,"ETF",0.461538461538462
"55","R128",3,2,"ETF",0.666666666666667
"56","R129",3,2,"ETF",0.666666666666667
"57","R13",15,9,"ETF",0.6
"58","R130",1,1,"ETF",1
"59","R131",2,1,"ETF",0.5
"60","R132",28,13,"ETF",0.464285714285714
"61","R133",4,4,"ETF",1
"62","R134",9,8,"ETF",0.888888888888889
"63","R135",9,7,"ETF",0.777777777777778
"64","R136",4,0,"ETF",0
"65","R137",27,23,"ETF",0.851851851851852
"66","R138",15,15,"ETF",1
"67","R139",34,16,"ETF",0.470588235294118
"68","R14",3,1,"ETF",0.333333333333333
"69","R140",20,17,"ETF",0.85
"70","R141",5,5,"ETF",1
"71","R142",10,4,"ETF",0.4
"72","R143",44,32,"ETF",0.727272727272727
"73","R144",11,6,"ETF",0.545454545454545
"74","R145",1,0,"ETF",0
"75","R146",3,1,"ETF",0.333333333333333
"76","R147",7,3,"ETF",0.428571428571429
"77","R148",1,0,"ETF",0
"78","R149",26,13,"ETF",0.5
"79","R15",2,2,"ETF",1
"80","R150",4,3,"ETF",0.75
"81","R151",24,3,"ETF",0.125
"82","R152",44,17,"ETF",0.386363636363636
"83","R153",2,2,"ETF",1
"84","R154",5,4,"ETF",0.8
"85","R155",8,7,"ETF",0.875
"86","R156",29,8,"ETF",0.275862068965517
"87","R157",9,9,"ETF",1
"88","R158",4,3,"ETF",0.75
"89","R159",5,2,"ETF",0.4
"90","R16",1,0,"ETF",0
"91","R160",3,2,"ETF",0.666666666666667
"92","R161",35,23,"ETF",0.657142857142857
"93","R162",1,0,"ETF",0
"94","R163",24,22,"ETF",0.916666666666667
"95","R164",7,0,"ETF",0
"96","R17",1,1,"ETF",1
"97","R18",3,1,"ETF",0.333333333333333
"98","R19",10,6,"ETF",0.6
"99","R2",6,1,"ETF",0.166666666666667
"100","R20",4,4,"ETF",1
"101","R21",2,2,"ETF",1
"102","R22",7,7,"ETF",1
"103","R23",1,0,"ETF",0
"104","R24",2,2,"ETF",1
"105","R25",1,0,"ETF",0
"106","R26",4,3,"ETF",0.75
"107","R27",1,0,"ETF",0
"108","R28",2,2,"ETF",1
"109","R29",1,0,"ETF",0
"110","R3",3,1,"ETF",0.333333333333333
"111","R30",1,1,"ETF",1
"112","R31",1,1,"ETF",1
"113","R32",3,3,"ETF",1
"114","R33",6,6,"ETF",1
"115","R34",2,2,"ETF",1
"116","R35",3,2,"ETF",0.666666666666667
"117","R36",1,1,"ETF",1
"118","R37",4,0,"ETF",0
"119","R38",2,0,"ETF",0
"120","R39",9,9,"ETF",1
"121","R4",3,3,"ETF",1
"122","R40",2,2,"ETF",1
"123","R41",1,0,"ETF",0
"124","R42",3,2,"ETF",0.666666666666667
"125","R43",1,1,"ETF",1
"126","R44",14,2,"ETF",0.142857142857143
"127","R45",2,2,"ETF",1
"128","R46",2,1,"ETF",0.5
"129","R47",1,1,"ETF",1
"130","R48",4,3,"ETF",0.75
"131","R49",3,2,"ETF",0.666666666666667
"132","R5",4,3,"ETF",0.75
"133","R50",1,0,"ETF",0
"134","R51",1,1,"ETF",1
"135","R52",1,1,"ETF",1
"136","R53",1,1,"ETF",1
"137","R54",2,2,"ETF",1
"138","R55",1,0,"ETF",0
"139","R56",2,0,"ETF",0
"140","R57",1,0,"ETF",0
"141","R58",2,2,"ETF",1
"142","R59",1,0,"ETF",0
"143","R6",2,1,"ETF",0.5
"144","R60",1,1,"ETF",1
"145","R61",1,1,"ETF",1
"146","R62",1,1,"ETF",1
"147","R63",3,3,"ETF",1
"148","R64",1,0,"ETF",0
"149","R65",2,1,"ETF",0.5
"150","R66",1,0,"ETF",0
"151","R67",16,11,"ETF",0.6875
"152","R68",1,1,"ETF",1
"153","R69",3,2,"ETF",0.666666666666667
"154","R7",5,3,"ETF",0.6
"155","R70",1,0,"ETF",0
"156","R71",1,0,"ETF",0
"157","R72",1,0,"ETF",0
"158","R73",7,5,"ETF",0.714285714285714
"159","R74",1,1,"ETF",1
"160","R75",1,1,"ETF",1
"161","R76",1,1,"ETF",1
"162","R77",1,1,"ETF",1
"163","R78",3,3,"ETF",1
"164","R79",2,0,"ETF",0
"165","R8",3,3,"ETF",1
"166","R80",2,0,"ETF",0
"167","R81",2,1,"ETF",0.5
"168","R82",1,0,"ETF",0
"169","R83",5,3,"ETF",0.6
"170","R84",2,2,"ETF",1
"171","R85",3,0,"ETF",0
"172","R86",6,1,"ETF",0.166666666666667
"173","R87",1,1,"ETF",1
"174","R88",1,1,"ETF",1
"175","R89",2,0,"ETF",0
"176","R9",2,1,"ETF",0.5
"177","R90",1,0,"ETF",0
"178","R91",2,2,"ETF",1
"179","R92",1,0,"ETF",0
"180","R93",1,1,"ETF",1
"181","R94",4,3,"ETF",0.75
"182","R95",2,2,"ETF",1
"183","R96",1,0,"ETF",0
"184","R97",1,0,"ETF",0
"185","R98",1,1,"ETF",1
"186","R99",1,0,"ETF",0
"187","S1",20,20,"ETF",1
"188","S10",7,5,"ETF",0.714285714285714
"189","S100",4,4,"ETF",1
"190","S101",3,3,"ETF",1
"191","S102",7,6,"ETF",0.857142857142857
"192","S103",9,9,"ETF",1
"193","S104",6,5,"ETF",0.833333333333333
"194","S105",8,8,"ETF",1
"195","S106",8,6,"ETF",0.75
"196","S107",8,8,"ETF",1
"197","S108",4,4,"ETF",1
"198","S109",2,2,"ETF",1
"199","S11",7,7,"ETF",1
"200","S110",9,3,"ETF",0.333333333333333
"201","S111",10,0,"ETF",0
"202","S112",4,4,"ETF",1
"203","S113",5,5,"ETF",1
"204","S114",6,6,"ETF",1
"205","S116",1,1,"ETF",1
"206","S117",10,10,"ETF",1
"207","S119",7,7,"ETF",1
"208","S12",6,6,"ETF",1
"209","S120",13,12,"ETF",0.923076923076923
"210","S121",10,10,"ETF",1
"211","S123",6,1,"ETF",0.166666666666667
"212","S124",8,3,"ETF",0.375
"213","S125",6,1,"ETF",0.166666666666667
"214","S126",2,2,"ETF",1
"215","S127",5,3,"ETF",0.6
"216","S13",5,0,"ETF",0
"217","S14",7,6,"ETF",0.857142857142857
"218","S15",6,6,"ETF",1
"219","S16",12,11,"ETF",0.916666666666667
"220","S17",5,0,"ETF",0
"221","S18",9,5,"ETF",0.555555555555556
"222","S19",7,0,"ETF",0
"223","S2",8,7,"ETF",0.875
"224","S20",7,3,"ETF",0.428571428571429
"225","S21",6,6,"ETF",1
"226","S22",11,2,"ETF",0.181818181818182
"227","S24",10,5,"ETF",0.5
"228","S25",7,6,"ETF",0.857142857142857
"229","S26",5,2,"ETF",0.4
"230","S27",8,0,"ETF",0
"231","S28",1,1,"ETF",1
"232","S29",3,2,"ETF",0.666666666666667
"233","S3",10,3,"ETF",0.3
"234","S30",7,0,"ETF",0
"235","S31",4,1,"ETF",0.25
"236","S32",5,5,"ETF",1
"237","S33",5,2,"ETF",0.4
"238","S34",4,3,"ETF",0.75
"239","S35",11,6,"ETF",0.545454545454545
"240","S36",9,9,"ETF",1
"241","S37",5,2,"ETF",0.4
"242","S38",4,2,"ETF",0.5
"243","S39",6,0,"ETF",0
"244","S4",2,1,"ETF",0.5
"245","S40",4,0,"ETF",0
"246","S41",4,4,"ETF",1
"247","S42",4,3,"ETF",0.75
"248","S43",5,5,"ETF",1
"249","S44",7,4,"ETF",0.571428571428571
"250","S45",3,1,"ETF",0.333333333333333
"251","S46",3,3,"ETF",1
"252","S47",7,5,"ETF",0.714285714285714
"253","S48",5,1,"ETF",0.2
"254","S49",2,1,"ETF",0.5
"255","S5",3,2,"ETF",0.666666666666667
"256","S50",4,4,"ETF",1
