"","GS.Type","RICHNESS","RICHNESS_NAT","Proportion","Region"
"1","Alley",23,15,0.652173913043478,"ETF"
"2","Inst",69,38,0.550724637681159,"ETF"
"3","Institutional",46,27,0.58695652173913,"ETF"
"4","Parc",20,9,0.45,"ETF"
"5","Park",81,42,0.518518518518518,"ETF"
"6","Private",140,73,0.521428571428571,"ETF"
"7","Row",81,42,0.518518518518518,"ETF"
"8","Street",41,23,0.560975609756098,"ETF"
"9","Alley",23,13,0.565217391304348,"SLL"
"10","Inst",69,31,0.449275362318841,"SLL"
"11","Institutional",46,23,0.5,"SLL"
"12","Parc",20,8,0.4,"SLL"
"13","Park",81,32,0.395061728395062,"SLL"
"14","Private",140,54,0.385714285714286,"SLL"
"15","Row",81,30,0.37037037037037,"SLL"
"16","Street",41,16,0.390243902439024,"SLL"
