"","ABBA","ACFR","ACRU","ACSA","ACSC","AMCA","AMGR","AMLA","BEAL","CEOC","CGPU","CRCA","CRCO","FRAM","FRPE","JNCO"
"S1",0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0
"S10",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1002",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"S1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"S1005",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"S1007",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"S1008",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"S1009",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"S101",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1010",0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0
"S1011",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
"S1012",0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
"S1013",0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
"S1014",0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
"S1015",0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"S1016",0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
"S1017",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"S1018",0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
"S1019",0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
"S102",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"S1020",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"S1021",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"S1022",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"S1023",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1024",0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0
"S1025",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"S1026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S1027",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1028",0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
"S1029",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"S1030",0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0
"S1031",0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0
"S1032",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"S1033",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1034",0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,1
"S1035",0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
"S1036",0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0
"S1037",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S1038",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S1039",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"S104",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1040",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"S1041",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"S1042",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"S1043",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S1044",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1045",0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"S1046",0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
"S1047",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1048",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1049",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1050",0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
"S1051",0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"S1052",0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0
"S1053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"S1054",0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0
"S1055",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S1056",0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,0
"S1057",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"S1058",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"S1059",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"S1060",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"S1061",0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
"S1062",0,1,0,2,0,0,0,0,0,1,0,0,0,0,3,0
"S1063",0,0,0,4,1,0,0,0,1,0,0,0,0,0,3,0
"S1064",0,1,0,3,0,1,0,1,0,0,0,0,0,0,1,0
"S1065",0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0
"S1066",0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"S1068",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1070",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1072",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1073",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"S1074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1075",0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"S1076",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1077",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1078",0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
"S1079",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1081",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1082",0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
"S1083",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S1084",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"S1085",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"S1088",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"S1089",0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0
"S1090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"S1091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S1092",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"S1093",0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0
