"","Institutional","Parc","Private","Private (Alley)","Street"
"ABBA",2,0,2,0,5
"ACFR",10,1,4,0,29
"ACGI",1,0,7,0,0
"ACNE",15,0,73,25,1
"ACNI",0,1,0,0,0
"ACPA",3,0,15,0,0
"ACPL",103,12,132,0,42
"ACRU",2,0,4,0,0
"ACSA",85,8,40,1,95
"ACSC",31,2,6,0,0
"ACTA",0,0,11,0,1
"AEGL",0,0,0,0,3
"AEHI",11,0,4,2,0
"ALGL",0,0,2,0,3
"AM",0,2,0,0,0
"AMAR",0,0,11,0,0
"AMCA",3,0,7,3,1
"AMGR",0,0,0,0,15
"AMSA",0,0,2,0,0
"ARSP",0,0,5,0,0
"BENI",0,0,0,0,1
"BEPA",2,0,11,1,0
"BEPE",1,0,0,0,0
"BEPO",0,0,3,0,0
"BRPA",0,0,1,0,0
"CAAB",0,0,8,0,0
"CDJA",0,0,0,0,1
"CECA",0,0,2,0,0
"CEOC",8,0,13,11,53
"CGMO",0,1,0,0,0
"CGPU",0,0,1,0,0
"COAL",0,0,1,0,0
"COSA",0,0,0,1,0
"CPCA",0,0,1,0,0
"CRCO",0,0,0,0,10
"CTCO",0,0,4,0,0
"CTSP",5,0,4,0,1
"ELAN",1,0,0,0,0
"EUAL",6,0,26,0,0
"EUEU",0,0,2,0,0
"FAGR",1,0,0,0,0
"FRAM",0,0,0,1,0
"FRPE",81,0,18,2,23
"FRPR",0,0,1,0,0
"GIBI",0,6,3,0,15
"GLTR",18,31,44,0,108
"GYDI",4,0,8,0,94
"HEMI",0,0,1,0,0
"HYAR",0,0,1,0,0
"HYPA",0,0,1,0,0
"JUCI",0,0,1,0,0
"JUNI",1,0,2,0,1
"JUVI",0,0,13,0,0
"LADE",0,0,1,0,0
"LALA",4,0,0,0,0
"LIVU",0,0,2,0,0
"LOPE",0,0,7,2,0
"MA",6,0,14,0,0
"MADA",0,0,1,0,0
"MAIO",0,0,9,0,0
"MAKO",0,0,1,0,0
"MAPR",0,1,0,0,0
"MARO",0,8,0,0,0
"MASS",4,0,0,0,0
"MAST",0,0,1,0,0
"MASY",2,0,16,0,0
"MATH",0,22,0,0,0
"MGSO",0,0,3,0,0
"MOAL",4,0,8,1,0
"MORU",0,0,1,0,0
"OSVI",0,1,1,2,1
"PIAB",11,0,7,0,0
"PIBA",0,0,1,0,0
"PIGL",19,0,9,0,0
"PIMA",0,0,8,1,0
"PIPU",22,0,32,0,0
"PIRU",0,0,2,0,0
"PNNI",24,0,5,0,5
"PNRE",2,0,15,0,0
"PNST",4,0,1,0,1
"PNSY",1,0,1,0,0
"POCA",0,2,0,0,0
"PODE",2,0,1,1,0
"PONI",0,0,1,0,0
"PRAV",0,0,4,0,0
"PRCE",1,0,3,0,0
"PRCR",0,0,1,0,0
"PRDO",0,0,3,0,0
"PRPE",0,0,1,0,0
"PRVI",6,0,16,4,0
"PYCA",0,0,0,0,1
"QUBI",0,0,0,0,6
"QUMA",7,0,2,1,32
"QURO",0,1,0,0,2
"QURU",17,2,3,0,1
"RHAR",0,0,2,0,0
"RHCA",1,0,16,1,0
"RHGL",0,0,0,1,0
"RHTY",2,0,2,0,0
"ROCA",0,0,1,0,0
"ROPS",0,0,21,4,2
"SAAL",0,0,1,0,0
"SACA",1,0,2,0,0
"SADI",1,0,0,0,0
"SAHU",0,0,1,0,0
"SOAM",0,0,5,1,0
"SOAU",0,0,2,0,0
"SOTH",0,0,1,0,0
"SYPU",0,0,2,0,0
"SYRE",0,0,13,0,9
"SYVU",6,0,38,1,0
"TACA",19,0,21,0,0
"THOC",42,0,171,6,0
"TIAM",7,11,9,0,6
"TICO",14,13,14,0,47
"TSCA",0,0,1,0,0
"ULAM",2,1,27,7,25
"ULCA",0,0,0,0,5
"ULDA",0,0,0,0,12
"ULHO",0,0,0,0,22
"ULLA",0,0,0,1,0
"ULMG",0,0,0,0,4
"ULMI",0,0,3,0,0
"ULMO",1,0,0,0,63
"ULNH",0,0,0,0,6
"ULPU",25,0,26,5,8
"ULRU",2,0,13,0,0
"VIAC",0,0,1,0,0
"WEFL",0,0,2,0,0
"ZESE",0,3,0,0,1
